 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
3.41,8.21,0,0,1
2.41,6.39,0.17,0.4,0.6
3.81,5.88,0.37,1.4,0
8.03,7.99,0.5,4.01,1.4
13.65,6.02,0.81,11.04,4.82
42.74,1.17,0.99,42.14,19.87
104.55,0.11,0.1,10.03,3.41
55.99,0.14,0.06,3.21,9.63
23.48,0.13,0.16,3.81,5.42
12.44,0.16,0.19,2.41,3.01
12.84,0.35,0.34,4.41,0.4
9.83,1.15,1.14,11.24,2.61
58.8,2.17,0.45,26.29,9.63
30.7,0.95,0.78,24.08,3.81
79.26,0.32,0.2,16.05,2.81
56.99,0.24,0.04,2.21,3.21
28.7,0.31,0.65,18.66,7.22
18.26,0.42,0.57,10.43,3.81
25.89,0.21,0.07,1.81,6.82
13.04,0.28,0.66,8.63,6.62
19.26,0.16,0.65,12.44,4.21
25.28,0.14,0.51,12.84,4.41
26.09,0.91,0.55,14.45,1.81
61,0.77,0.4,24.48,2.61
57.59,0.35,0.3,17.06,3.01
51.97,0.23,0.12,6.42,3.21
31.91,0.33,0.42,13.24,3.81
31.71,0.19,0.24,7.63,1
23.08,0.46,0.43,9.83,1.61
32.31,0.29,0.35,11.44,3.01
37.93,0.26,0.14,5.22,1.61
21.07,0.3,0.3,6.42,1.61
28.29,0.75,0.65,18.26,2.01
44.95,0.75,0.56,25.08,4.21
68.43,0.21,0.15,10.03,3.61
41.54,0.19,0.07,2.81,10.23
32.31,0.28,0.17,5.42,4.21
17.86,0.36,0.2,3.61,4.82
9.63,0.44,0.96,9.23,1.61
15.45,0.45,0.51,7.83,2.01
16.45,1.53,0.23,3.81,1.81
18.46,1.38,0.32,5.82,2.41
83.28,0.77,0.5,41.74,3.01
87.29,0.08,0.13,11.64,6.22
67.63,0.15,0.05,3.61,8.83
15.05,0.13,0.03,0.4,9.63
2.41,0.87,0.33,0.8,1.4
4.41,2.04,0.59,2.61,2.21
5.62,2.05,0.46,2.61,0.6
9.83,2.28,0.51,5.02,1.81
13.85,2.44,0.46,6.42,1
25.08,1.46,0.51,12.84,1.61
27.89,0.66,0.4,11.04,1.4
52.98,0.87,0.57,30.1,2.81
84.08,2.4,0.62,52.17,3.81
93.31,2.37,0.25,23.08,8.03
72.84,2.44,0.08,6.02,11.84
35.12,2.26,0.15,5.42,15.85
14.65,1.67,0.1,1.4,3.01
9.43,1.55,0.38,3.61,1
14.45,1.39,0.17,2.41,2.01
19.87,3.93,0.67,13.24,2.01
39.73,4,0.54,21.27,0.8
88.5,5.56,0.28,25.08,1.61
86.69,3.08,0.11,9.83,7.63
62.81,1.39,0.05,3.41,5.62
25.08,1.61,0.04,1,6.42
8.43,2,0.45,3.81,3.21
19.87,5.28,0.19,3.81,0.4
30.5,5.17,0.43,13.24,3.01
97.53,4.38,0.46,44.75,2.01
122.41,1.83,0.17,21.27,3.01
81.87,2.77,0.04,3.41,9.63
23.08,2.92,0,0,13.85
4.01,2.76,0.35,1.4,3.61
5.02,2.33,0.4,2.01,0.6
9.43,4.57,0.57,5.42,2.01
30.3,2.9,0.68,20.47,2.21
74.85,3.25,0.42,31.71,2.01
102.34,1.44,0.29,30.1,3.81
73.65,4.4,0.03,2.41,8.63
34.11,5.35,0.06,2.21,9.63
22.48,2.55,0.29,6.62,5.02
20.07,1.8,0.21,4.21,3.21
24.68,3.42,0.87,21.47,4.01
72.64,3.14,0.67,48.56,4.01
120.2,1.41,0.08,9.83,4.41
43.55,5.35,0.13,5.62,19.67
19.67,2.53,0.1,2.01,12.84
4.41,5.71,0.18,0.8,1.61
22.88,3.78,0.72,16.45,1
34.31,3.05,0.71,24.28,4.82
86.49,4.54,0.48,41.14,2.01
96.12,6.46,0.04,3.41,3.01
40.54,5.88,0.25,10.03,5.22
17.26,6.34,0,0,2.81
13.85,2.8,1.1,15.25,3.61
43.95,4.51,0.46,20.27,3.21
74.05,4.65,0.3,21.87,2.01
60.8,2.23,0.17,10.23,0.8
22.27,3.63,0,0,2.81
18.86,3.85,0.35,6.62,2.01
12.24,4.42,0.77,9.43,3.01
18.26,4.83,0.22,4.01,1.61
38.93,4.98,0.47,18.46,1
76.66,3.42,0.37,28.5,3.01
82.48,2.95,0.16,13.24,3.01
52.78,0.17,0.07,3.61,2.61
19.26,0.44,0.07,1.4,10.43
6.62,0.77,0.42,2.81,3.01
12.84,0.91,0.63,8.03,1
18.26,1.09,0.41,7.42,1
28.5,0.92,0.53,15.05,1.61
8.83,0.48,0.45,4.01,0.4
60,0.14,0.13,7.83,1
84.08,0.34,0.1,8.43,4.01
51.17,0.43,0.22,11.24,5.02
26.89,0.58,0.49,13.24,3.61
16.25,0.95,0.33,5.42,2.01
26.29,1.85,0.67,17.66,1.61
54.58,4.45,0.58,31.71,5.02
80.07,3.59,0.12,9.23,3.01
52.17,3.72,0.43,22.48,3.61
64.01,3.65,0.14,9.23,4.41
36.12,2.12,0.68,24.68,3.01
59.6,4.7,0.29,17.06,2.01
46.35,1.46,0.15,7.02,3.01
24.28,6.62,0.06,1.4,3.61
15.05,1.08,0.24,3.61,1.61
12.64,1.15,0.35,4.41,1.2
9.03,1.33,1,9.03,0.4
18.86,1.2,0.54,10.23,1
49.97,0.69,0.61,30.7,1.4
89.5,0.58,0.34,30.5,1
76.66,1.96,0.23,17.26,1.81
59,1.29,0.27,15.85,2.41
41.54,1.36,0.15,6.22,2.01
26.89,1.42,0.29,7.83,4.21
27.29,2.43,0.76,20.67,2.21
42.34,1.74,0.6,25.28,1.2
64.21,2.81,0.5,31.91,1.4
88.09,2.37,0.45,39.93,1.2
75.65,2,0.13,10.03,2.21
36.92,1.81,0.04,1.61,3.21
12.44,1.36,0.08,1,1.2
6.42,2.13,0.38,2.41,1.2
6.02,3.45,0.73,4.41,0.6
10.64,2.97,0.66,7.02,0.2
20.07,4.07,0.71,14.25,0.2
63.81,6.6,0.75,47.76,0.4
113.98,4.12,0.37,42.34,0.2
99.33,2.42,0.24,24.28,0.4
70.03,2.92,0.1,6.82,2.41
38.73,3.34,0.11,4.21,5.22
9.03,1.27,0.36,3.21,1.61
10.84,3.02,0.28,3.01,1
21.87,3.2,0.78,17.06,0.2
50.37,3.4,0.78,39.33,0.6
87.69,2.9,0.67,58.6,1.61
119,2.5,0.09,11.24,2.21
64.82,1.28,0.12,5.22,4.21
19.47,1.35,0.3,2.41,1.2
11.44,3.01,0.81,3.41,0.4
8.43,4.9,0.98,6.82,0.6
21.87,4.56,0.74,21.47,1
55.99,3.75,0.24,41.34,1.4
109.16,3.41,0.06,26.29,7.22
74.25,3.82,0.15,4.82,6.02
19.67,2.28,0.51,3.01,1.2
7.83,2.53,0.83,4.01,1.2
10.64,6.1,0.83,8.83,0.2
20.27,6.41,0.89,18.06,1
47.76,4.42,0.93,44.55,0.6
98.33,5.05,0.2,19.47,1.2
76.46,3.72,0.02,1.81,5.22
60.4,3.19,0.18,10.84,2.41
