 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
0.6,1.63,1.33,0.8,0
0.4,0.8,1,0.4,0
10.23,0.64,0.47,4.82,0.6
17.26,0.4,0.23,4.01,0
6.42,0.16,0.16,1,0.2
3.81,0.14,0.42,1.61,0.2
1.4,0.26,0.43,0.6,0
3.61,1.22,0.22,0.8,0
4.82,0.95,0.5,2.41,0.4
23.08,0.39,0.22,5.02,0.2
18.06,0.12,0.1,1.81,0.6
3.61,0.13,0.11,0.4,0.4
2.41,0.45,0.25,0.6,0.4
4.62,0.61,0.91,4.21,0.2
9.43,1.14,0.38,3.61,0.4
25.28,0.63,0.23,5.82,0.4
14.05,0.13,0.14,2.01,0
7.63,0.4,0.26,2.01,0.8
7.02,0.73,0.57,4.01,0.2
27.69,0.44,0.15,4.21,0.8
21.07,0.35,0.11,2.41,0
20.47,0.24,0.06,1.2,0.6
22.07,0.46,0.25,5.62,0.2
16.86,1.03,0.38,6.42,0.4
24.28,0.49,0.1,2.41,0.4
14.65,0.31,0.14,2.01,0.4
6.82,0.66,0.44,3.01,0.4
10.43,0.77,0.5,5.22,0.4
27.29,0.56,0.11,3.01,0.4
39.73,0.18,0.09,3.61,0.8
21.67,0.22,0.07,1.61,1
7.22,0.46,0.75,5.42,0.4
10.03,0.74,0.3,3.01,0.6
15.05,0.66,0.2,3.01,0.2
7.63,0.56,0.24,1.81,0.4
22.07,0.76,0.36,8.03,0.4
24.88,0.43,0.15,3.61,0.2
23.48,0.48,0.22,5.22,0.6
13.44,0.75,0.25,3.41,0.2
16.66,0.45,0.06,1,0.2
10.23,0.36,0.24,2.41,0.6
5.82,0.55,0.52,3.01,0
12.24,0.85,0.8,9.83,0
40.33,0.64,0.28,11.24,0.2
48.96,0.45,0.16,7.63,0.6
21.47,0.5,0.07,1.4,0.4
14.05,0.61,0.29,4.01,0.4
12.44,0.57,0.34,4.21,0.6
12.04,0.5,0.2,2.41,0
10.64,0.66,0.53,5.62,0.4
13.65,0.79,0.21,2.81,0
24.68,0.9,0.41,10.03,0.6
20.47,0.49,0.09,1.81,0.8
16.25,0.57,0.25,4.01,0.8
15.25,0.69,0.32,4.82,0.4
19.47,0.63,0.36,7.02,0.8
38.93,1.05,0.45,17.46,0.4
32.91,0.43,0.09,3.01,0.8
19.67,0.44,0.13,2.61,0.4
26.49,0.51,0.28,7.42,0.6
16.86,0.6,0.3,5.02,0.8
10.64,0.42,0.11,1.2,0.4
24.68,0.44,0.27,6.62,0.8
20.87,0.53,0.37,7.63,0.4
32.31,0.83,0.32,10.43,0.6
36.32,0.6,0.18,6.62,0
21.67,0.25,0.04,0.8,0.6
7.83,0.28,0.1,0.8,1
3.21,0.35,0.25,0.8,0.8
11.84,0.65,0.39,4.62,0.6
10.64,0.8,0.26,2.81,0.2
31.1,0.69,0.26,8.23,0
32.11,0.98,0.42,13.65,0.2
42.54,0.95,0.59,25.28,2.61
28.29,0.29,0.02,0.6,1.4
8.03,0.26,0.03,0.2,1.2
7.42,0.42,0.41,3.01,0.6
4.01,0.61,0.75,3.01,0
6.82,1.23,0.41,2.81,0.6
29.9,1.14,0.5,15.05,0.4
30.7,0.59,0.22,6.62,0.4
21.47,0.51,0.16,3.41,0.4
15.45,0.51,0.26,4.01,0.4
25.28,0.36,0.39,9.83,0
33.11,0.83,0.52,17.26,0.6
34.11,1.08,0.71,24.08,1
30.1,0.22,0.1,3.01,1.2
13.65,0.39,0.21,2.81,1.61
17.26,0.56,0.24,4.21,0.4
14.05,0.7,0.37,5.22,0.8
22.27,0.62,0.23,5.22,0.6
21.47,0.61,0.37,8.03,0.6
21.27,0.64,0.36,7.63,0.2
16.05,1.03,0.59,9.43,0.4
25.49,0.35,0.09,2.21,0.4
9.43,0.41,0.53,5.02,0.8
12.64,0.68,0.37,4.62,0.4
13.85,0.74,0.36,5.02,0.8
24.88,0.76,0.36,9.03,0.6
32.51,0.75,1.01,32.91,1
29.5,0.52,0.16,4.82,0.8
25.28,1.76,1.1,27.69,1.4
40.54,0.73,0.22,9.03,0.6
22.68,0.24,0.12,2.81,1
7.22,0.47,0.89,6.42,2.21
17.66,0.84,0.57,10.03,0.8
16.05,0.59,0.21,3.41,0.4
17.86,1.47,1.09,19.47,1.61
28.09,0.44,0.09,2.41,1
12.44,0.26,0.03,0.4,0.8
3.61,0.35,0.5,1.81,0.6
3.21,0.42,0.88,2.81,0.4
7.63,0.82,0.68,5.22,0.6
10.64,1.1,0.64,6.82,0.4
23.68,0.73,0.31,7.42,0.8
16.66,0.4,0.16,2.61,0.4
15.85,1.03,0.58,9.23,1.4
25.28,0.66,0.32,8.03,0.8
18.66,0.33,0.17,3.21,0.8
17.06,0.84,1,17.06,0.6
34.52,0.46,0.1,3.61,0.4
10.84,0.56,0.52,5.62,1
12.64,0.85,0.79,10.03,0.8
19.06,0.71,0.54,10.23,0.2
12.24,0.3,0.08,1,0.8
10.84,0.39,0.72,7.83,0.6
13.65,0.7,0.81,11.04,0.4
22.27,1.12,0.87,19.47,1
36.52,0.44,0.08,2.81,0.8
16.45,0.4,0.24,4.01,1.61
12.84,0.3,0.25,3.21,2.21
13.65,0.48,0.46,6.22,0.4
18.66,0.62,0.88,16.45,0.6
50.77,0.36,0.11,5.42,1.2
17.26,0.15,0.02,0.4,0.4
6.42,0.33,0.91,5.82,0.8
12.44,0.85,1.06,13.24,0.6
22.48,0.34,0.14,3.21,0.8
11.84,0.4,0.17,2.01,1.2
21.87,0.4,0.38,8.23,2.81
20.27,0.33,0.66,13.44,0.6
19.87,0.32,0.22,4.41,1
17.06,0.39,0.53,9.03,2.21
9.03,0.46,0.58,5.22,2.21
8.23,0.46,0.59,4.82,1.2
17.46,0.46,0.55,9.63,1.4
19.87,0.49,0.42,8.43,1
15.85,0.47,0.42,6.62,2.61
20.07,1.23,0.58,11.64,0.8
32.31,0.46,0.23,7.42,1.61
24.28,0.83,0.61,14.85,2.81
18.46,0.22,0.05,1,1
12.64,0.2,0.79,10.03,0.8
4.21,0.21,0.76,3.21,1
2.81,0.75,1.43,4.01,0.4
6.42,0.64,1.31,8.43,0.6
9.23,1.32,0.39,3.61,0.2
31.71,0.54,0.29,9.23,4.21
11.24,0.38,0.48,5.42,3.61
10.64,0.8,0.53,5.62,0.6
8.83,1.01,1.41,12.44,0.6
23.88,0.47,0.39,9.23,0
14.45,0.36,0.36,5.22,0
9.83,0.32,0.18,1.81,0.6
8.83,0.41,0.8,7.02,0.8
14.25,0.74,0.72,10.23,0.6
23.88,0.64,0.51,12.24,1.4
28.09,0.56,0.48,13.44,1.2
1.4,0.46,0.43,0.6,1.2
5.42,0.71,0.26,1.4,0.8
15.25,0.53,0.21,3.21,1.81
10.03,0.3,0.04,0.4,1.2
11.84,0.26,0.08,1,0.6
7.22,0.62,0.33,2.41,1.2
12.44,0.77,0.6,7.42,0.8
4.01,0.74,0.35,1.4,0.6
19.06,0.29,0.16,3.01,0.8
9.23,0.39,0.52,4.82,1.4
11.44,0.41,0.16,1.81,1.4
11.04,1.04,0.16,1.81,1.4
9.23,0.44,0.11,1,2.41
14.45,0.21,0.07,1,1
5.82,0.11,0.17,1,0.6
5.62,0.42,0.64,3.61,1
6.02,0.45,0.4,2.41,0.2
12.44,0.37,0.29,3.61,0
8.03,0.53,0.35,2.81,0.8
5.02,0.44,0.28,1.4,0.2
