 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
16.25,1.92,0.53,8.63,0.4,160
43.75,1.58,0.48,21.07,0.6,160
42.94,0.62,0.1,4.41,1.81,160
36.12,0.55,0.17,6.02,1.61,160
42.54,1.12,0.42,17.66,1,160
69.63,1.48,0.38,26.69,0.4,0
69.03,1.61,0.44,30.3,1.61,0
67.43,0.72,0.17,11.44,0.6,0
41.74,0.4,0.12,5.02,0.4,0
21.27,0.33,0.13,2.81,2.01,160
9.23,0.15,0.24,2.21,0.4,160
3.21,0.23,0.13,0.4,0.4,160
1.2,0.75,1.5,1.81,0.4,160
1,1.86,2.2,2.21,0,0
4.82,2.78,0.33,1.61,0,0
8.43,2.67,0.57,4.82,0,0
7.83,1.77,0.26,2.01,0,0
14.45,1.43,0.26,3.81,0,160
11.04,0.57,0.24,2.61,0.2,160
10.64,0.73,0.62,6.62,0,160
11.44,0.85,0.84,9.63,0,160
27.09,1.04,0.75,20.27,0.6,0
31.3,1.69,0.53,16.45,1,0
35.32,1.07,0.3,10.64,0.4,0
30.5,0.95,0.26,8.03,0.8,0
21.07,0.68,0.28,5.82,0.8,160
11.84,0.24,0.19,2.21,0.4,160
6.82,0.33,0.21,1.4,0,160
6.62,0.82,0.36,2.41,0.2,160
3.41,1.19,1,3.41,0.4,0
7.83,2.04,0.56,4.41,0,0
14.25,1.98,0.37,5.22,0.4,0
15.65,1.76,0.31,4.82,0.2,0
25.89,1.47,0.31,8.03,0.6,160
23.48,0.44,0.13,3.01,0.2,160
13.04,0.27,0.12,1.61,1.81,160
7.63,0.47,0.26,2.01,0.6,160
6.42,0.88,0.88,5.62,0.6,0
13.85,2.21,0.64,8.83,0.2,0
15.45,2.3,0.49,7.63,0.4,0
29.1,1.82,0.37,10.84,0,0
25.08,1.07,0.2,5.02,2.01,160
18.86,0.33,0.27,5.02,0,160
9.63,0.54,0.15,1.4,0,160
8.03,0.58,0.28,2.21,0,160
7.83,1.03,0.54,4.21,0.6,0
15.45,2.3,0.74,11.44,0.4,0
29.3,2.15,0.39,11.44,0.6,0
41.94,1.59,0.27,11.24,0,0
24.28,1.04,0.26,6.22,0,160
25.89,0.41,0.25,6.42,0.2,160
16.66,0.39,0.33,5.42,0.4,160
14.25,0.79,0.31,4.41,0,160
12.24,1.04,0.74,9.03,0.4,0
27.09,2.04,0.46,12.44,0.2,0
26.09,1.91,0.38,9.83,0.4,0
33.31,1.14,0.25,8.43,0,0
29.1,0.89,0.23,6.82,0,160
21.67,0.36,0.17,3.61,0,160
18.86,0.44,0.16,3.01,0.6,160
19.47,0.71,0.52,10.03,0.4,160
17.26,1.05,0.7,12.04,0.6,0
21.87,2.23,0.74,16.25,0.4,0
38.33,1.97,0.48,18.46,0.4,0
37.93,1.25,0.3,11.44,0.4,0
38.13,0.85,0.26,9.83,NaN,160
30.9,0.27,0.17,5.22,0.4,160
21.67,0.43,0.19,4.01,0.6,160
17.66,0.73,0.31,5.42,0.2,160
15.65,1.17,0.62,9.63,0.2,0
23.28,2.39,0.67,15.65,0.2,0
33.91,2.1,0.46,15.65,0.4,0
44.75,1.28,0.28,12.64,0,0
42.94,0.99,0.25,10.64,0,160
30.3,0.31,0.16,4.82,0,160
20.67,0.36,0.09,1.81,0.2,160
13.04,0.57,0.49,6.42,0.2,160
9.23,0.94,0.41,3.81,0.4,0
12.64,2.23,0.49,6.22,0,0
21.07,2.25,0.39,8.23,0,0
36.32,1.79,0.31,11.44,0,0
33.11,1.12,0.25,8.23,0,160
29.3,0.45,0.15,4.41,0,160
20.47,0.45,0.2,4.01,0.8,160
14.65,0.61,0.41,6.02,0.8,160
12.44,1.1,0.53,6.62,0.2,0
21.67,2.45,0.55,11.84,0,0
43.95,1.24,0.29,12.64,0,0
48.36,1.28,0.29,14.05,0.4,0
44.75,0.78,0.22,9.63,0.2,160
21.47,0.38,0.27,5.82,0.2,160
22.07,0.39,0.14,3.01,1.61,160
12.04,0.58,0.32,3.81,0,160
14.45,0.95,0.64,9.23,0.4,0
17.66,2.11,0.57,10.03,0.4,0
35.12,1.86,0.35,12.24,0.4,0
38.33,1.61,0.35,13.24,0.6,0
49.77,0.87,0.23,11.44,0.4,160
