 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
11.04,1.54,0.02,0.2,0
7.02,1.65,0.49,3.41,0.8
10.03,1.51,0.74,7.42,1.61
20.67,1.07,1.01,20.87,1.81
32.31,0.46,0.22,7.22,4.21
14.45,0.36,0.35,5.02,5.22
14.05,0.95,0.67,9.43,2.01
18.06,1.22,0.92,16.66,1.61
30.3,0.69,0.37,11.24,0.8
13.65,0.25,0.18,2.41,2.61
11.44,0.49,0.4,4.62,2.81
12.04,1.11,0.37,4.41,0.4
14.05,1.18,0.56,7.83,0.4
22.68,0.91,0.52,11.84,0.6
25.89,0.34,0.18,4.62,0.8
12.24,0.29,0.48,5.82,1.2
16.86,0.58,0.36,6.02,0
17.26,1.37,0.53,9.23,2.41
30.3,0.7,0.34,10.43,5.22
23.48,0.25,0.09,2.21,2.81
9.43,0.58,0.62,5.82,1.61
11.04,0.7,0.67,7.42,3.21
13.24,0.76,0.73,9.63,1.2
13.04,1,0.4,5.22,3.01
14.85,0.98,0.59,8.83,2.41
18.06,0.85,0.17,3.01,2.81
15.45,1.13,0.32,5.02,1
10.64,1.46,0.58,6.22,2.21
17.86,1.57,0.47,8.43,1.61
23.68,1.49,0.24,5.62,0.2
34.31,0.63,0.28,9.63,3.41
15.65,0.54,0.27,4.21,1.61
23.48,0.7,0.41,9.63,1.4
29.9,0.84,0.65,19.47,3.41
33.91,0.99,0.62,21.07,3.01
54.98,1.91,0.62,34.11,5.82
53.18,0.38,0.16,8.43,4.62
52.58,0.17,0.02,1.2,3.81
11.64,0.15,0.1,1.2,5.22
9.23,0.72,0.22,2.01,2.21
7.83,0.56,0.69,5.42,1.61
9.03,1.28,0.56,5.02,2.01
14.85,1.04,0.68,10.03,1
25.69,1.15,0.66,17.06,1
34.31,0.54,0.23,8.03,2.01
26.89,0.4,0.25,6.82,1.2
17.66,0.5,0.13,2.21,1
14.65,1.11,1.01,14.85,1.61
17.06,1,0.81,13.85,1.2
26.49,0.95,0.92,24.28,1.61
34.52,0.27,0.11,3.81,3.61
23.88,0.13,0.33,7.83,3.41
7.83,0.28,0.51,4.01,1
18.66,0.69,0.47,8.83,1.61
20.87,1.04,0.6,12.44,1
35.72,0.72,0.58,20.87,3.61
32.31,0.19,0.12,4.01,4.62
17.06,0.12,0.11,1.81,2.41
9.43,0.24,0.51,4.82,0.8
7.22,0.32,0.5,3.61,0.6
10.64,0.4,0.98,10.43,0.6
17.66,0.66,0.9,15.85,0.8
36.32,0.48,0.39,14.05,0.4
25.49,0.64,0.39,10.03,0.4
32.31,0.64,0.26,8.43,2.41
17.46,0.57,0.46,8.03,1.81
21.07,0.72,0.56,11.84,1.2
24.68,0.69,0.41,10.23,1.4
25.28,0.83,0.67,16.86,2.01
28.5,0.73,0.49,13.85,2.61
21.87,0.44,0.21,4.62,1.81
22.27,0.81,0.89,19.87,1.2
22.48,0.86,0.82,18.46,1
43.75,0.66,0.18,8.03,1
29.5,0.55,0.31,9.03,1
23.68,0.57,0.58,13.85,2.01
26.69,0.47,0.45,12.04,1
27.89,0.4,0.38,10.64,1.4
27.49,0.25,0.23,6.22,0
24.88,0.36,0.4,9.83,1.61
33.71,0.38,0.49,16.66,0.8
22.07,0.69,0.65,14.45,0.8
23.28,0.62,0.48,11.24,1.4
30.3,0.37,0.26,7.83,0.8
30.7,0.33,0.44,13.65,2.21
49.16,0.41,0.36,17.66,2.81
19.67,0.57,0.51,10.03,2.21
21.67,0.37,0.32,7.02,2.21
20.47,0.75,1.01,20.67,1.81
36.52,0.77,0.58,21.07,0.4
35.32,0.23,0.11,3.81,0
18.46,0.34,0.23,4.21,2.21
16.25,0.35,0.74,12.04,1.61
16.86,0.6,0.67,11.24,1
28.5,0.69,0.49,14.05,1.4
39.13,0.27,0.12,4.82,2.01
28.09,0.27,0.24,6.62,1.81
19.47,0.32,0.76,14.85,1
26.09,0.54,0.87,22.68,1.61
32.11,0.53,0.5,16.05,0.6
28.09,0.22,0.2,5.62,1.4
18.86,0.43,0.52,9.83,1.4
25.49,0.77,0.62,15.85,0.4
24.88,0.48,0.44,10.84,0.8
32.51,0.37,0.3,9.83,1
27.89,0.46,0.47,13.24,1.4
33.51,0.55,0.44,14.65,2.61
34.92,0.54,0.29,10.03,2.01
29.1,0.55,0.47,13.65,1.61
43.75,0.73,0.4,17.66,1.4
51.57,0.46,0.33,17.26,3.21
41.54,0.26,0.05,2.01,4.41
22.48,0.16,0.18,4.01,2.61
17.06,0.34,0.61,10.43,4.62
13.85,0.31,1.41,19.47,2.81
66.02,0.33,0.14,9.23,3.21
33.51,0.2,0,0,10.84
12.64,0.15,0.08,1,1.2
5.82,0.21,0.28,1.61,8.03
9.83,0.16,0.16,1.61,1
12.84,0.45,0.72,9.23,1.61
23.28,1.01,0.83,19.26,2.01
37.73,0.94,0.28,10.64,1.4
36.12,0.92,0.66,23.88,1.2
46.56,0.52,0.28,12.84,2.41
34.52,0.42,0.23,8.03,1.4
31.3,0.54,0.21,6.42,2.61
17.26,0.39,0.53,9.23,1.61
24.08,0.53,0.61,14.65,0.8
35.32,0.41,0.2,7.02,0.8
22.48,0.48,0.32,7.22,0.6
19.06,0.45,0.67,12.84,0.4
27.49,0.57,0.77,21.07,1.61
35.52,0.44,0.27,9.63,1.2
25.28,0.43,0.3,7.63,0.2
20.67,0.33,0.38,7.83,2.41
21.47,0.2,0.14,3.01,1
25.49,0.68,0.58,14.85,0.8
41.74,0.33,0.19,8.03,0.8
