 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
11.04,2.83,0.67,7.42,0.4,160
28.9,2.31,0.56,16.25,0,0
36.72,1.14,0.22,8.23,0.6,0
22.27,0.44,0.07,1.61,1,0
8.23,0.13,0,0,0.6,0
1.61,0.15,0,0,1.2,160
0.8,0.98,0,0,0,160
0.4,0.48,0,0,0,160
0.6,2.63,0,0,0,160
1.61,3.34,0.38,0.6,0,0
2.01,3.26,0.4,0.8,0,0
6.82,0.38,0.18,1.2,0,0
2.21,1.02,0.55,1.2,0,0
3.41,0.39,0.06,0.2,0,160
2.01,0.16,0,0,0,160
4.21,1.37,0.19,0.8,0.2,160
0.4,2.7,0,0,0,0
17.86,3.1,0.43,7.63,0.2,0
17.26,1.44,0.19,3.21,0.2,0
21.07,0.52,0.05,1,0,0
2.21,0.2,0.18,0.4,0.4,160
3.41,0.12,0.06,0.2,0.2,160
4.01,0.27,0,0,1.2,160
1.2,1.91,1,1.2,0.4,160
1.81,3.48,1,1.81,0.4,0
3.21,3.56,0.75,2.41,0.2,0
7.22,2.44,0.44,3.21,0,0
16.86,1.02,0.43,7.22,0.6,0
16.25,0.45,0.22,3.61,0.4,160
7.63,0.15,0.05,0.4,2.01,160
2.41,0.21,1,2.41,1.61,160
3.01,1.97,0.2,0.6,2.41,160
9.43,2.52,0.09,0.8,1.4,0
14.45,3.03,0.33,4.82,1,0
30.3,2.01,0.17,5.22,0.8,0
23.08,0.77,0.09,2.01,0.6,0
10.64,0.27,0.09,1,4.21,160
2.61,0.1,0,0,1.61,160
1.61,0.31,0,0,0,160
3.41,1.27,0.18,0.6,0.4,160
2.61,2.95,0.31,0.8,0.4,0
6.82,3.54,0.56,3.81,0,0
5.22,2.35,0.58,3.01,0,0
12.84,2.35,0.17,2.21,0.8,0
2.41,0.8,0,0,0,160
3.61,0.39,0,0,0,160
4.62,0.36,0.09,0.4,1,160
4.41,0.84,0.41,1.81,1.61,160
6.02,1.6,0.37,2.21,0.8,0
18.26,3.06,0.2,3.61,0.4,0
29.7,1.39,0.15,4.41,0.8,0
21.27,0.62,0.08,1.81,1,0
8.43,0.3,0,0,4.82,160
1.81,0.1,0,0,0.4,160
0.4,0.2,0,0,0,160
4.62,3.31,0.09,0.4,0,0
0.8,3.81,0,0,0,0
3.61,2.49,0.22,0.8,1,0
5.62,1.36,0.21,1.2,0.2,0
8.03,0.78,0.1,0.8,0,160
7.02,0.44,0.09,0.6,0,160
5.82,0.39,0.55,3.21,1.61,160
2.01,0.58,0,0,0,160
12.44,1.29,0.47,5.82,1,0
25.49,1.5,0.27,6.82,0.6,0
34.52,0.55,0.09,3.21,0.8,0
19.87,0.14,0.05,1,2.41,0
1.61,0.14,0,0,5.22,160
0.4,0.12,0,0,2.41,160
0.2,1.66,1,0.2,0.6,0
0.2,1.31,0,0,0.2,160
1,0.7,0.6,0.6,0,160
1.4,0.95,1.43,2.01,0,160
2.41,1.38,0.5,1.2,0,160
24.28,2.12,0.61,14.85,1,0
54.58,1.68,0.33,18.06,0.8,0
44.55,0.41,0.1,4.62,1.61,0
7.83,0.14,0,0,3.01,0
8.83,0.14,0.11,1,2.41,160
5.02,0.18,0.28,1.4,1.2,160
2.61,0.26,0.62,1.61,1,160
8.23,0.57,0.34,2.81,0.8,160
17.46,0.74,0.38,6.62,0.4,0
20.47,1.08,0.37,7.63,0.4,0
46.35,1.02,0.38,17.46,1,0
23.88,0.64,0.09,2.21,0.8,0
25.49,0.49,0.05,1.2,2.01,160
11.04,0.36,0.05,0.6,3.01,160
7.22,0.32,0.11,0.8,0.8,160
4.01,0.35,0.4,1.61,0.6,160
4.21,0.65,1.14,4.82,0.2,0
4.01,1.54,0.05,0.2,1.81,0
25.69,1.24,0.2,5.22,0.6,0
9.43,0.52,0.06,0.6,0.8,0
18.26,0.37,0.05,1,1,160
16.66,0.12,0.16,2.61,0.4,160
6.82,0.11,0,0,0.6,160
2.41,0.2,0,0,0,160
2.01,1.21,1.1,2.21,2.81,0
5.22,1.76,0.65,3.41,2.21,0
12.24,1.25,0.41,5.02,0.4,0
13.65,0.61,0.15,2.01,0.2,0
8.23,0.33,0.1,0.8,0.8,160
6.42,0.21,0.22,1.4,0.8,160
5.62,0.2,0.21,1.2,0.8,160
5.02,0.23,0.68,3.41,0.8,160
