"","x"
"rotifers~algae",0.00186424613370462
"rotifers~egg_ratio",0.0816631816270528
"rotifers~eggs",0.211049300960025
"rotifers~dead_animals",0.0156183836122673
"rotifers~algae+egg_ratio",0.131053417507252
"rotifers~algae+eggs",0.265208583127377
"rotifers~algae+dead_animals",0.0183744700770663
"rotifers~egg_ratio+eggs",0.625519114411781
"rotifers~egg_ratio+dead_animals",0.0994601827179477
"rotifers~eggs+dead_animals",0.212237909791715
"rotifers~algae+egg_ratio+eggs",0.626344944187069
"rotifers~algae+egg_ratio+dead_animals",0.155772532843963
"rotifers~algae+eggs+dead_animals",0.265447329636498
"rotifers~egg_ratio+eggs+dead_animals",0.626319463690179
