"","x"
"rotifers~algae",6.58033919674361e-05
"rotifers~egg_ratio",0.00932188571375792
"rotifers~eggs",0.45299315558559
"rotifers~dead_animals",0.00312277059436695
"rotifers~external",0.0881828436026581
"rotifers~algae+egg_ratio",0.00986405819318944
"rotifers~algae+eggs",0.483187523883574
"rotifers~algae+dead_animals",0.0031441781842484
"rotifers~algae+external",0.114693190384086
"rotifers~egg_ratio+eggs",0.628459659900252
"rotifers~egg_ratio+dead_animals",0.0113934540811814
"rotifers~egg_ratio+external",0.110649173172717
"rotifers~eggs+dead_animals",0.466476786213671
"rotifers~eggs+external",0.46088847554675
"rotifers~dead_animals+external",0.0961257187544093
"rotifers~algae+egg_ratio+eggs",0.634067896266532
"rotifers~algae+egg_ratio+dead_animals",0.0124955450914696
"rotifers~algae+egg_ratio+external",0.126873464481873
"rotifers~algae+eggs+dead_animals",0.489780476135057
"rotifers~algae+eggs+external",0.514689826177615
"rotifers~algae+dead_animals+external",0.118052312425589
"rotifers~egg_ratio+eggs+dead_animals",0.635283942128886
"rotifers~egg_ratio+eggs+external",0.640118131519119
"rotifers~egg_ratio+dead_animals+external",0.1163455556912
"rotifers~eggs+dead_animals+external",0.476339804890624
"rotifers~algae+egg_ratio+eggs+dead_animals",0.638844651600737
"rotifers~algae+egg_ratio+eggs+external",0.657615772124924
"rotifers~algae+egg_ratio+dead_animals+external",0.129715627295607
"rotifers~algae+eggs+dead_animals+external",0.521237625747736
"rotifers~egg_ratio+eggs+dead_animals+external",0.648572741121241
"rotifers~algae+egg_ratio+eggs+dead_animals+external",0.662400710092687
